model,cluster,n_models,n_test,r2,spearman,rmse,mae,r2_single_mean
peptideclm-2-mlm-small-warmstart,1,5,1546,0.06572604179382324,0.302553130167686,0.5392203998125914,0.41382521390914917,-0.13919857740402222
peptideclm-2-mlm-small-warmstart,6,5,494,0.3196513056755066,0.6180169909884559,0.8653647365487662,0.6375309824943542,0.24011857509613038
peptideclm-2-mlm-small-treatment,1,5,1546,0.011091530323028564,0.24682408354701044,0.5547626874228413,0.4192017614841461,-0.11569463014602661
peptideclm-2-mlm-small-treatment,6,5,494,0.26921743154525757,0.5983385431688363,0.8968659297471179,0.7163308262825012,0.13676886558532714
