depth,params_M,mcc,mcc_lo,mcc_hi,auc,auc_lo,auc_hi,acc,C,cv_mcc,mcc_raw,auc_raw
1,11.326869,0.5232795990998993,0.5020050728742087,0.5432530633238044,0.698534412651696,0.6820958945001692,0.7131435032307801,0.7554390054390054,10.0,0.7472111851372294,0.6403034786059654,0.8449213020558521
3,32.316821,0.691523434233836,0.6726748357089006,0.7102823829770667,0.8705543315939026,0.8603231794115564,0.8818456004807834,0.8455710955710956,10.0,0.7414689398117164,0.704988419274539,0.8844550533446928
6,63.801749,0.6823825622489021,0.6631703841324318,0.700820680027739,0.8630257320373123,0.8516981326772621,0.874745805477118,0.8412975912975913,10.0,0.7351755525721059,0.7512112293764492,0.9191350789762853
18,189.741461,0.605117161540282,0.584129247493431,0.626464469852072,0.8142648948838469,0.801958113291281,0.8267284438081771,0.798951048951049,1.0,0.7729434845385257,0.5588282885663751,0.7705595051093761
31,326.176149,0.7676902477743597,0.7499156983008876,0.7849718229175111,0.938930129101902,0.9319128965609567,0.9458734073935342,0.884032634032634,0.1,0.7490110329039942,0.7747983404946905,0.941323409461664
32,336.671125,0.7585037273499929,0.7403832159043712,0.7755356377852964,0.9216362165445998,0.9133139876232113,0.9298021566393997,0.8795648795648796,1.0,0.7453005616220826,0.7698052136414757,0.924662420551745
