epoch,step,train_loss,val_loss,val_mcc_best,val_thr_best
0,17,,0.6816001534461975,0.3607395589351654,0.4925408363342285
0,17,0.6359188556671143,,,
1,35,,0.6292527318000793,0.4060853123664856,0.43534302711486816
1,35,0.5105293393135071,,,
2,53,,0.6105896234512329,0.4326251149177551,0.5700060725212097
2,53,0.4458252489566803,,,
3,71,,0.6098958849906921,0.4718814194202423,0.41579124331474304
3,71,0.39585739374160767,,,
4,89,,0.8068619966506958,0.4326251149177551,0.7343937754631042
4,89,0.3461895287036896,,,
5,107,,0.6782006025314331,0.4529510736465454,0.3240624666213989
5,107,0.30547624826431274,,,
6,125,,0.6818357706069946,0.4898785352706909,0.1285487413406372
6,125,0.27759045362472534,,,
7,143,,0.6955966949462891,0.48341482877731323,0.21340692043304443
7,143,0.2298346906900406,,,
8,161,,0.704410195350647,0.5133445262908936,0.11240428686141968
8,161,0.1955023854970932,,,
9,179,,0.7096810340881348,0.6091560125350952,0.5369596481323242
9,179,0.19837802648544312,,,
10,197,,0.8406199216842651,0.4529510736465454,0.28589922189712524
10,197,0.20094482600688934,,,
11,215,,0.9188330173492432,0.4869266450405121,0.01067668478935957
11,215,0.1503310352563858,,,
12,233,,1.1269559860229492,0.3944723904132843,0.10269689559936523
12,233,0.15039482712745667,,,
13,251,,0.7146154046058655,0.5507614612579346,0.9033550024032593
13,251,0.14377780258655548,,,
14,269,,1.0116279125213623,0.4890024960041046,0.38414445519447327
14,269,0.1473582535982132,,,
15,287,,0.7588988542556763,0.5219786167144775,0.16583026945590973
15,287,0.15147902071475983,,,
16,305,,0.9517165422439575,0.5351382493972778,0.1400597244501114
16,305,0.11915481835603714,,,
17,323,,1.1859716176986694,0.5371010899543762,0.022568823769688606
17,323,0.11239490658044815,,,
18,341,,1.4960744380950928,0.4775669276714325,0.483769953250885
18,341,0.1487841010093689,,,
19,359,,1.0031274557113647,0.4373856484889984,0.7828004956245422
19,359,0.16506485641002655,,,
20,377,,1.1830660104751587,0.4389476776123047,0.8332758545875549
20,377,0.13842374086380005,,,
21,395,,1.1046159267425537,0.48178136348724365,0.21621224284172058
21,395,0.12091226130723953,,,
22,413,,1.1988469362258911,0.44539934396743774,0.036507826298475266
22,413,0.12873438000679016,,,
23,431,,1.0517065525054932,0.5857317447662354,0.01973128318786621
23,431,0.12324436753988266,,,
24,449,,1.1387524604797363,0.5090278387069702,0.03274061903357506
24,449,0.1072506383061409,,,
25,467,,0.9706183671951294,0.4857959449291229,0.9226147532463074
25,467,0.09077538549900055,,,
26,485,,1.0802226066589355,0.5109801292419434,0.8822416663169861
26,485,0.08183147758245468,,,
27,503,,1.1639279127120972,0.471478670835495,0.20657020807266235
27,503,0.07280274480581284,,,
28,521,,1.1668978929519653,0.48341482877731323,0.03558511286973953
28,521,0.08128900825977325,,,
29,539,,1.551518201828003,0.4890024960041046,0.05906438082456589
29,539,0.09756509959697723,,,
