arm,seed,mcc,auc,acc,f1
kdlive,101,0.8278448844983936,0.9782222222222221,0.9133333333333333,0.910958904109589
kdlive,202,0.8278448844983936,0.9775111111111111,0.9133333333333333,0.910958904109589
kdlive,303,0.8204559355370361,0.9746666666666666,0.91,0.9084745762711864
treatment,101,0.8273287946596168,0.9731555555555556,0.9133333333333333,0.9115646258503401
treatment,202,0.8273287946596168,0.9753777777777778,0.9133333333333333,0.9115646258503401
treatment,303,0.8273287946596168,0.9747999999999999,0.9133333333333333,0.9115646258503401
warmstart,101,0.8540168202937981,0.9737333333333333,0.9266666666666666,0.9251700680272109
warmstart,202,0.847137429375639,0.9718666666666667,0.9233333333333333,0.9220338983050848
warmstart,303,0.8406728074767075,0.9713333333333334,0.92,0.9183673469387755
