bench,arm,seed,blocks,MB,mcc,auc,acc
AmpHGT,warmstart32M,101,14,126.7,0.7920670811335672,0.9620651221554741,0.8954933954933955
AmpHGT,trunc8,101,8,339.2,0.8453362681978647,0.9696794175166158,0.9201631701631702
THPep,warmstart32M,101,14,126.7,0.8430825602782945,0.9793103448275863,0.9344262295081968
THPep,trunc8,101,8,339.2,0.8036589986248059,0.9651888341543514,0.9180327868852459
THPep,trunc16,101,16,675.0,0.8531427558551232,0.9730706075533662,0.9344262295081968
THPep,trunc24,101,24,1010.9,0.8217803287963661,0.9563218390804598,0.9180327868852459
THPep,trunc31,101,31,1304.7,0.7642354369713172,0.9464696223316912,0.9016393442622951
THPep,full337M,101,32,1346.7,0.7764133668287133,0.9527093596059113,0.9016393442622951
